Run,Geo.Mean(Potency),n,CL,LCL,UCL,runs.signal,sigma.signal
2023-01-01T00:00:00Z,48.295382429360046,4,51.534192826262704,28.039853166900997,94.71422744072615,FALSE,FALSE
2023-01-08T00:00:00Z,62.53906596849576,6,51.534192826262704,31.85168216913191,83.3793648998604,FALSE,FALSE
2023-01-15T00:00:00Z,34.22904606777261,2,51.534192826262704,19.074938446176468,139.2283932002292,FALSE,FALSE
2023-01-22T00:00:00Z,65.21198805613902,6,51.534192826262704,31.85168216913191,83.3793648998604,FALSE,FALSE
2023-01-29T00:00:00Z,48.14806791252698,2,51.534192826262704,19.074938446176468,139.2283932002292,FALSE,FALSE
2023-02-05T00:00:00Z,50.48675097406544,2,51.534192826262704,19.074938446176468,139.2283932002292,FALSE,FALSE
2023-02-12T00:00:00Z,79.03461678297188,1,51.534192826262704,NA,NA,FALSE,FALSE
2023-02-19T00:00:00Z,65.69278669903714,3,51.534192826262704,24.819916056054737,107.00169268326597,FALSE,FALSE
2023-02-26T00:00:00Z,51.07949891097088,3,51.534192826262704,24.819916056054737,107.00169268326597,FALSE,FALSE
2023-03-05T00:00:00Z,47.37918282120035,6,51.534192826262704,31.85168216913191,83.3793648998604,FALSE,FALSE
2023-03-12T00:00:00Z,52.48346385473855,5,51.534192826262704,30.225663908931665,87.86483692322297,FALSE,FALSE
2023-03-19T00:00:00Z,40.9384037263114,1,51.534192826262704,NA,NA,FALSE,FALSE
2023-03-26T00:00:00Z,28.525196802444558,2,51.534192826262704,19.074938446176468,139.2283932002292,FALSE,FALSE
2023-04-02T00:00:00Z,39.10959663848142,1,51.534192826262704,NA,NA,FALSE,FALSE
2023-04-09T00:00:00Z,39.530289965051686,4,51.534192826262704,28.039853166900997,94.71422744072615,FALSE,FALSE
2023-04-16T00:00:00Z,44.96959451877315,6,51.534192826262704,31.85168216913191,83.3793648998604,FALSE,FALSE
2023-04-23T00:00:00Z,55.91973966206148,2,51.534192826262704,19.074938446176468,139.2283932002292,FALSE,FALSE
2023-04-30T00:00:00Z,50.584852519274214,3,51.534192826262704,24.819916056054737,107.00169268326597,FALSE,FALSE
2023-05-07T00:00:00Z,47.40389458155933,4,51.534192826262704,28.039853166900997,94.71422744072615,FALSE,FALSE
2023-05-14T00:00:00Z,56.19960273082526,4,51.534192826262704,28.039853166900997,94.71422744072615,FALSE,FALSE
2023-05-21T00:00:00Z,52.5943392686783,1,51.534192826262704,NA,NA,FALSE,FALSE
2023-05-28T00:00:00Z,52.773066313603266,2,51.534192826262704,19.074938446176468,139.2283932002292,FALSE,FALSE
2023-06-04T00:00:00Z,45.507829306499886,3,51.534192826262704,24.819916056054737,107.00169268326597,FALSE,FALSE
2023-06-11T00:00:00Z,67.35008982257018,5,51.534192826262704,30.225663908931665,87.86483692322297,FALSE,FALSE
2023-06-18T00:00:00Z,44.70257015227214,2,51.534192826262704,19.074938446176468,139.2283932002292,FALSE,FALSE
2023-06-25T00:00:00Z,59.69087095386838,5,51.534192826262704,30.225663908931665,87.86483692322297,FALSE,FALSE
2023-07-02T00:00:00Z,43.17344470253948,5,51.534192826262704,30.225663908931665,87.86483692322297,FALSE,FALSE
2023-07-09T00:00:00Z,51.889717534096526,6,51.534192826262704,31.85168216913191,83.3793648998604,FALSE,FALSE
2023-07-16T00:00:00Z,49.87619591490503,6,51.534192826262704,31.85168216913191,83.3793648998604,FALSE,FALSE
2023-07-23T00:00:00Z,40.90293984081433,4,51.534192826262704,28.039853166900997,94.71422744072615,FALSE,FALSE
2023-07-30T00:00:00Z,76.84118884711357,3,51.534192826262704,24.819916056054737,107.00169268326597,FALSE,FALSE
2023-08-06T00:00:00Z,64.56869723902479,2,51.534192826262704,19.074938446176468,139.2283932002292,FALSE,FALSE
2023-08-13T00:00:00Z,66.56308088948256,2,51.534192826262704,19.074938446176468,139.2283932002292,FALSE,FALSE
2023-08-20T00:00:00Z,52.572345606982616,4,51.534192826262704,28.039853166900997,94.71422744072615,FALSE,FALSE
2023-08-27T00:00:00Z,55.77647527873018,2,51.534192826262704,19.074938446176468,139.2283932002292,FALSE,FALSE
2023-09-03T00:00:00Z,52.95349664746908,1,51.534192826262704,NA,NA,FALSE,FALSE
2023-09-10T00:00:00Z,49.40019965232791,5,51.534192826262704,30.225663908931665,87.86483692322297,FALSE,FALSE
2023-09-17T00:00:00Z,55.155229381158975,5,51.534192826262704,30.225663908931665,87.86483692322297,FALSE,FALSE
2023-09-24T00:00:00Z,47.77891059173984,4,51.534192826262704,28.039853166900997,94.71422744072615,FALSE,FALSE
2023-10-01T00:00:00Z,43.074722688067396,2,51.534192826262704,19.074938446176468,139.2283932002292,FALSE,FALSE
